date,hdc_pop
2020-01-03,2759
2020-01-10,2726
2020-01-17,2741
2020-01-24,2703
2020-01-31,2698
2020-02-07,2709
2020-02-14,2716
2020-02-21,2684
2020-02-28,2719
2020-03-06,2726
2020-03-13,2718
2020-03-20,2731
2020-03-27,2693
2020-04-03,2681
2020-04-10,
2020-04-17,2668
2020-04-24,2699
2020-05-01,2699
2020-05-08,
2020-05-15,2676
2020-05-22,2656
2020-05-29,2619
2020-06-05,2634
2020-06-12,2647
2020-06-19,2685
2020-06-26,2649
2020-07-03,2650
2020-07-10,2659
2020-07-17,2629
2020-07-24,2607
2020-07-31,2589
2020-08-07,2578
2020-08-14,2546
2020-08-21,2543
2020-08-28,2552
2020-09-04,2524
2020-09-11,2502
2020-09-18,2510
2020-09-25,2500
2020-10-02,2507
2020-10-09,2496
2020-10-16,2456
2020-10-23,2491
2020-10-30,2485
2020-11-06,2478
2020-11-13,2459
2020-11-20,2418
2020-11-27,2425
2020-12-04,2420
2020-12-11,2431
2020-12-18,2412
2021-01-08,2342
2021-01-15,2322
2021-01-22,2285
2021-01-29,2272
2021-02-05,2276
2021-02-12,2260
2021-02-19,2245
2021-02-26,2246
2021-03-05,2274
2021-03-12,2298
2021-03-19,2249
2021-03-26,2239
2021-04-02,
2021-04-09,2267
2021-04-16,2237
2021-04-23,2246
2021-04-30,2274
2021-05-07,2232
2021-05-14,2175
2021-05-21,2197
2021-05-28,2192
2021-06-04,2184
2021-06-11,2168
2021-06-18,2179
2021-06-25,2183
2021-07-02,2201
2021-07-09,2155
2021-07-16,2108
2021-07-23,2151
2021-07-30,2177
2021-08-06,2172
2021-08-13,2198
2021-08-20,2212
2021-08-27,2236
2021-09-03,2210
2021-09-10,2174
2021-09-17,2167
2021-09-24,2167
2021-10-01,2160
2021-10-08,2184
2021-10-15,2175
2021-10-22,2173
2021-10-29,2170
2021-11-05,2216
2021-11-12,2242
2021-11-19,2219
2021-11-26,2187
2021-12-03,2218
2021-12-10,2200
2021-12-17,2215
2021-12-24,2236
2021-12-31,2223
2022-01-07,2191
2022-01-14,2152
2022-01-21,2141
2022-01-28,2144
2022-02-04,2165
2022-02-11,2190
2022-02-18,2167
2022-02-25,2166
2022-03-04,2142
2022-03-11,2135
2022-03-18,2129
2022-03-25,2165
2022-04-01,2177
2022-04-08,2182
2022-04-22,2159
2022-04-29,2149
2022-05-06,2126
2022-05-13,2121
2022-05-20,2104
2022-05-27,2106
2022-06-10,2082
2022-06-17,2058
2022-06-24,2075
2022-07-01,2114
2022-07-08,2125
2022-07-15,2140
2022-07-22,2138
2022-07-29,2140
2022-08-05,2141
2022-08-12,2139
2022-08-19,2121
2022-08-26,2099
2022-09-02,2104
2022-09-09,2098
2022-09-16,2071
2022-09-23,2063
2022-09-30,2055
2022-10-07,2038
2022-10-14,1996
2022-10-21,1998
2022-10-28,1985
2022-11-04,1988
2022-11-11,1993
2022-11-18,1974
2022-11-25,1967
2022-12-02,1965
2022-12-09,1933
2022-12-16,1952
2022-12-23,1983
2022-12-30,1955
2023-01-06,1903
2023-01-13,1900
2023-01-20,1885
2023-01-27,1863
2023-02-03,1833
2023-02-10,1845
2023-02-17,1831
2023-02-24,1821
2023-03-03,1847
2023-03-10,1838
2023-03-17,1859
2023-03-24,1861
2023-03-31,1862
2023-04-14,1813
2023-04-21,1819
2023-04-28,1809
2023-05-05,1828
2023-05-12,1801
2023-05-19,1794
2023-05-26,1802
2023-06-02,1820
2023-06-09,2059
2023-06-16,2109
2023-06-23,2117
2023-06-30,2117
2023-07-07,2124
2023-07-14,2100
2023-07-21,2079
2023-07-28,2072
