date,population
2014-01-03,3786
2014-01-10,3845
2014-01-17,3856
2014-01-24,3892
2014-01-31,3932
2014-02-07,3984
2014-02-14,3973
2014-02-21,3956
2014-02-28,3948
2014-03-07,3927
2014-03-14,3941
2014-03-21,3912
2014-03-28,3895
2014-04-04,3872
2014-04-11,3951
2014-04-18,
2014-04-25,3844
2014-05-02,3860
2014-05-09,3826
2014-05-16,3866
2014-05-23,3892
2014-05-30,3883
2014-06-06,3912
2014-06-13,3932
2014-06-20,3899
2014-06-27,3935
2014-07-04,3936
2014-07-11,3923
2014-07-18,3932
2014-07-25,3928
2014-08-01,3933
2014-08-08,3929
2014-08-15,3904
2014-08-22,3921
2014-08-29,3912
2014-09-05,3903
2014-09-12,3909
2014-09-19,3913
2014-09-26,3900
2014-10-03,3908
2014-10-10,3902
2014-10-17,3894
2014-10-24,3924
2014-10-31,3917
2014-11-07,3921
2014-11-14,3959
2014-11-21,3951
2014-11-28,3943
2014-12-05,3928
2014-12-12,3907
2014-12-19,3878
2014-12-26,
2015-01-02,3806
2015-01-09,3816
2015-01-16,3807
2015-01-23,3811
2015-01-30,3812
2015-02-06,3854
2015-02-13,3891
2015-02-20,3876
2015-02-27,3866
2015-03-06,3866
2015-03-13,3855
2015-03-20,3867
2015-03-27,3866
2015-04-03,
2015-04-10,3824
2015-04-17,3841
2015-04-24,3851
2015-05-01,3854
2015-05-08,3858
2015-05-15,3889
2015-05-22,3899
2015-05-29,3918
2015-06-05,3882
2015-06-12,3901
2015-06-19,3879
2015-06-26,3884
2015-07-03,3901
2015-07-10,3906
2015-07-17,3904
2015-07-24,3888
2015-07-31,3922
2015-08-07,3932
2015-08-14,3910
2015-08-21,3944
2015-08-28,3964
2015-09-04,3953
2015-09-11,3919
2015-09-18,3927
2015-09-25,3891
2015-10-02,3895
2015-10-09,3908
2015-10-16,3916
2015-10-23,3948
2015-10-30,3943
2015-11-06,3936
2015-11-13,3929
2015-11-20,3935
2015-11-27,3959
2015-12-04,3962
2015-12-11,3919
2015-12-18,3906
2015-12-25,
2016-01-01,
2016-01-08,3792
2016-01-15,3817
2016-01-22,3817
2016-01-29,3832
2016-02-05,3820
2016-02-12,3818
2016-02-19,3804
2016-02-26,3844
2016-03-04,3838
2016-03-11,3847
2016-03-18,3894
2016-03-25,
2016-04-01,3822
2016-04-08,3821
2016-04-15,3830
2016-04-22,3831
2016-04-29,3821
2016-05-06,3832
2016-05-13,3800
2016-05-20,3806
2016-05-27,3843
2016-06-03,3815
2016-06-10,3831
2016-06-17,3861
2016-06-24,3856
2016-07-01,3856
2016-07-08,3852
2016-07-15,3869
2016-07-22,3912
2016-07-29,3879
2016-08-05,3885
2016-08-12,3898
2016-08-19,3868
2016-08-26,3884
2016-09-02,3845
2016-09-09,3843
2016-09-16,3836
2016-09-23,3842
2016-09-30,3843
2016-10-07,3828
2016-10-14,3848
2016-10-21,3857
2016-10-28,3902
2016-11-04,3895
2016-11-11,3919
2016-11-18,3947
2016-11-25,3921
2016-12-02,3936
2016-12-09,3944
2016-12-16,3935
2016-12-23,
2016-12-30,3869
2017-01-06,3867
2017-01-13,3895
2017-01-20,3946
2017-01-27,3947
2017-02-03,3969
2017-02-10,3990
2017-02-17,3960
2017-02-24,3958
2017-03-03,3953
2017-03-10,3939
2017-03-17,3970
2017-03-24,3953
2017-03-31,3978
2017-04-07,3973
2017-04-14,
2017-04-21,3922
2017-04-28,3943
2017-05-05,3928
2017-05-12,3945
2017-05-19,3957
2017-05-26,3961
2017-06-02,3971
2017-06-09,3987
2017-06-16,3994
2017-06-23,3985
2017-06-30,4007
2017-07-07,4020
2017-07-14,3972
2017-07-21,3968
2017-07-28,3961
2017-08-04,4002
2017-08-11,3990
2017-08-18,4044
2017-08-25,4010
2017-09-01,3982
2017-09-08,3964
2017-09-15,3947
2017-09-22,3952
2017-09-29,3974
2017-10-06,4018
2017-10-13,4014
2017-10-20,4010
2017-10-27,4013
2017-11-03,4004
2017-11-10,4005
2017-11-17,4035
2017-11-24,4048
2017-12-01,4073
2017-12-08,4074
2017-12-15,4048
2017-12-22,3994
2017-12-29,
2018-01-05,3927
2018-01-12,3922
2018-01-19,3910
2018-01-26,3919
2018-02-02,3935
2018-02-09,3965
2018-02-16,3936
2018-02-23,3934
2018-03-02,3923
2018-03-09,3901
2018-03-16,3901
2018-03-23,3895
2018-03-30,3820
2018-04-06,3820
2018-04-13,3828
2018-04-20,3870
2018-04-27,3865
2018-05-04,3897
2018-05-11,3871
2018-05-18,3875
2018-05-25,3898
2018-06-01,3893
2018-06-08,3886
2018-06-15,3867
2018-06-22,3850
2018-06-29,3819
2018-07-06,3827
2018-07-13,3807
2018-07-20,3815
2018-07-27,3823
2018-08-03,3841
2018-08-10,3818
2018-08-17,3780
2018-08-24,3801
2018-08-31,3839
2018-09-07,3842
2018-09-14,3832
2018-09-21,3820
2018-09-28,3809
2018-10-05,3833
2018-10-12,3867
2018-10-19,3883
2018-10-26,3871
2018-11-02,3835
2018-11-09,3829
2018-11-16,3842
2018-11-23,3811
2018-11-30,3807
2018-12-07,3804
2018-12-14,3810
2018-12-21,3824
2018-12-28,
2019-01-04,3759
2019-01-11,3762
2019-01-18,3784
2019-01-25,3797
2019-02-01,3824
2019-02-08,3814
2019-02-15,3809
2019-02-22,3820
2019-03-01,3833
2019-03-08,3834
2019-03-15,3834
2019-03-22,3836
2019-03-29,3837
2019-04-05,3839
2019-04-12,3849
2019-04-19,
2019-04-26,3830
2019-05-03,3836
2019-05-10,3804
2019-05-17,3784
2019-05-24,3783
2019-05-31,3736
2019-06-07,3746
2019-06-14,3774
2019-06-21,3759
2019-06-28,3766
2019-07-05,3808
2019-07-12,3838
2019-07-19,3824
2019-07-26,3831
2019-08-02,3841
2019-08-09,3841
2019-08-16,3835
2019-08-23,3812
2019-08-30,3800
2019-09-06,3813
2019-09-13,3855
2019-09-20,3827
2019-09-27,3859
2019-10-04,3856
2019-10-11,3852
2019-10-18,3827
2019-10-25,3812
2019-11-01,3796
2019-11-08,3834
2019-11-15,3814
2019-11-22,3785
2019-11-29,3789
2019-12-06,3783
2019-12-13,3762
2019-12-20,3744
2019-12-27,3712
2020-01-03,3688
2020-01-10,3686
2020-01-17,3707
2020-01-24,3697
2020-01-31,3718
2020-02-07,3714
2020-02-14,3702
2020-02-21,3705
2020-02-28,3721
2020-03-06,3719
2020-03-13,3716
2020-03-20,3705
2020-03-27,3641
2020-04-03,3600
2020-04-17,3465
2020-04-24,3424
2020-05-01,3407
2020-05-08,
2020-05-15,3329
2020-05-22,3322
2020-05-29,3297
2020-06-05,3255
2020-06-12,3264
2020-06-19,3265
2020-06-26,3253
2020-07-03,3246
2020-07-10,3249
2020-07-17,3229
2020-07-24,3227
2020-07-31,3235
2020-08-07,3239
2020-08-14,3262
2020-08-21,3262
2020-08-28,3259
2020-09-04,3252
2020-09-11,3237
2020-09-18,3202
2020-09-25,3213
2020-10-02,3217
2020-10-09,3245
2020-10-16,3257
2020-10-23,3251
2020-10-30,3257
2020-11-06,3263
2020-11-13,3280
2020-11-20,3258
2020-11-27,3251
2020-12-04,3238
2020-12-11,3231
2020-12-18,3197
2021-01-08,3130
2021-01-15,3130
2021-01-22,3148
2021-01-29,3126
2021-02-05,3132
2021-02-12,3111
2021-02-19,3134
2021-02-26,3133
2021-03-05,3121
2021-03-12,3117
2021-03-19,3098
2021-03-26,3100
2021-04-02,
2021-04-09,3086
2021-04-16,3115
2021-04-23,3135
2021-04-30,3157
2021-05-07,3158
2021-05-14,3161
2021-05-21,3179
2021-05-28,3183
2021-06-04,3170
2021-06-11,3175
2021-06-18,3179
2021-06-25,3186
2021-07-02,3190
2021-07-09,3202
2021-07-16,3208
2021-07-23,3198
2021-07-30,3202
2021-08-06,3202
2021-08-13,3220
2021-08-20,3225
2021-08-27,3192
2021-09-03,3181
2021-09-10,3179
2021-09-17,3197
2021-09-24,3186
2021-10-01,3199
2021-10-08,3217
2021-10-15,3227
2021-10-22,3244
2021-10-29,3247
2021-11-05,3232
2021-11-12,3226
2021-11-19,3236
2021-11-26,3274
2021-12-03,3288
2021-12-10,3279
2021-12-17,3273
2021-12-24,3225
2021-12-31,3211
2022-01-07,3186
2022-01-14,3192
2022-01-21,3201
2022-01-28,3205
2022-02-04,3196
2022-02-11,3225
2022-02-18,3217
2022-02-25,3202
2022-03-04,3209
2022-03-11,3234
2022-03-18,3238
2022-03-25,3241
2022-04-01,3240
2022-04-08,3222
2022-04-22,3189
2022-04-29,3199
2022-05-06,3231
2022-05-13,3230
2022-05-20,3221
2022-05-27,3215
2022-06-10,3181
2022-06-17,3204
2022-06-24,3235
2022-07-01,3252
2022-07-08,3218
2022-07-15,3219
2022-07-22,3195
2022-07-29,3206
2022-08-05,3210
2022-08-12,3213
2022-08-19,3205
2022-08-26,3203
2022-09-02,3171
2022-09-09,3175
2022-09-16,3223
2022-09-23,3187
2022-09-30,3179
2022-10-07,3172
2022-10-14,3225
2022-10-21,3242
2022-10-28,3234
2022-11-04,3202
2022-11-11,3221
2022-11-18,3247
2022-11-25,3254
2022-12-02,3230
2022-12-09,3222
2022-12-16,3196
2022-12-23,3171
2022-12-30,3140
2023-01-06,3136
2023-01-13,3167
2023-01-20,3227
2023-01-27,3237
2023-02-03,3273
2023-02-10,3279
2023-02-17,3289
2023-02-24,3308
2023-03-03,3313
2023-03-10,3308
2023-03-17,3317
2023-03-24,3324
2023-03-31,3315
2023-04-14,3348
2023-04-21,3349
2023-04-28,3323
2023-05-05,3329
