date,population
2014-01-03,83193
2014-01-10,83481
2014-01-17,83734
2014-01-24,83834
2014-01-31,84175
2014-02-07,84442
2014-02-14,84540
2014-02-21,84603
2014-02-28,84672
2014-03-07,84738
2014-03-14,84701
2014-03-21,84539
2014-03-28,84443
2014-04-04,84464
2014-04-11,84479
2014-04-18,
2014-04-25,83942
2014-05-02,83950
2014-05-09,83799
2014-05-16,84094
2014-05-23,84305
2014-05-30,84225
2014-06-06,84361
2014-06-13,84533
2014-06-20,84542
2014-06-27,84684
2014-07-04,84567
2014-07-11,84608
2014-07-18,84791
2014-07-25,84857
2014-08-01,84868
2014-08-08,84971
2014-08-15,84958
2014-08-22,84843
2014-08-29,84574
2014-09-05,84597
2014-09-12,84576
2014-09-19,84683
2014-09-26,84793
2014-10-03,84523
2014-10-10,84485
2014-10-17,84417
2014-10-24,84569
2014-10-31,84578
2014-11-07,84671
2014-11-14,84656
2014-11-21,84691
2014-11-28,84668
2014-12-05,84629
2014-12-12,84442
2014-12-19,84093
2014-12-26,
2015-01-02,83287
2015-01-09,83413
2015-01-16,83437
2015-01-23,83485
2015-01-30,83680
2015-02-06,83878
2015-02-13,84002
2015-02-20,84119
2015-02-27,84121
2015-03-06,84147
2015-03-13,84178
2015-03-20,84204
2015-03-27,84324
2015-04-03,
2015-04-10,84159
2015-04-17,84215
2015-04-24,84343
2015-05-01,84454
2015-05-08,84299
2015-05-15,84372
2015-05-22,84441
2015-05-29,84379
2015-06-05,84503
2015-06-12,84571
2015-06-19,84494
2015-06-26,84777
2015-07-03,84930
2015-07-10,85089
2015-07-17,85092
2015-07-24,84982
2015-07-31,85029
2015-08-07,84967
2015-08-14,84976
2015-08-21,84976
2015-08-28,85019
2015-09-04,84780
2015-09-11,84692
2015-09-18,84768
2015-09-25,84815
2015-10-02,84826
2015-10-09,84926
2015-10-16,84910
2015-10-23,85106
2015-10-30,84916
2015-11-06,84975
2015-11-13,85088
2015-11-20,85134
2015-11-27,85163
2015-12-04,85075
2015-12-11,85058
2015-12-18,84920
2015-12-25,
2016-01-01,
2016-01-08,84285
2016-01-15,84550
2016-01-22,84565
2016-01-29,84718
2016-02-05,84880
2016-02-12,84881
2016-02-19,84801
2016-02-26,84868
2016-03-04,84959
2016-03-11,85063
2016-03-18,85064
2016-03-25,
2016-04-01,84546
2016-04-08,84540
2016-04-15,84564
2016-04-22,84684
2016-04-29,84686
2016-05-06,84558
2016-05-13,84549
2016-05-20,84515
2016-05-27,84623
2016-06-03,84489
2016-06-10,84483
2016-06-17,84405
2016-06-24,84323
2016-07-01,84302
2016-07-08,84200
2016-07-15,84238
2016-07-22,84269
2016-07-29,84270
2016-08-05,84287
2016-08-12,84346
2016-08-19,84172
2016-08-26,84261
2016-09-02,84066
2016-09-09,84122
2016-09-16,84221
2016-09-23,84416
2016-09-30,84708
2016-10-07,84836
2016-10-14,84942
2016-10-21,84981
2016-10-28,85108
2016-11-04,85124
2016-11-11,85140
2016-11-18,85167
2016-11-25,84976
2016-12-02,84976
2016-12-09,84851
2016-12-16,84714
2016-12-23,
2016-12-30,84069
2017-01-06,83962
2017-01-13,84049
2017-01-20,84170
2017-01-27,84298
2017-02-03,84383
2017-02-10,84672
2017-02-17,84733
2017-02-24,84664
2017-03-03,84638
2017-03-10,84635
2017-03-17,84651
2017-03-24,84636
2017-03-31,84652
2017-04-07,84656
2017-04-14,
2017-04-21,84390
2017-04-28,84353
2017-05-05,84248
2017-05-12,84319
2017-05-19,84466
2017-05-26,84517
2017-06-02,84505
2017-06-09,84599
2017-06-16,84648
2017-06-23,84807
2017-06-30,85047
2017-07-07,85270
2017-07-14,85205
2017-07-21,85323
2017-07-28,85349
2017-08-04,85484
2017-08-11,85488
2017-08-18,85458
2017-08-25,85483
2017-09-01,85356
2017-09-08,85311
2017-09-15,85359
2017-09-22,85362
2017-09-29,85367
2017-10-06,85375
2017-10-13,85463
2017-10-20,85469
2017-10-27,85409
2017-11-03,85387
2017-11-10,85486
2017-11-17,85554
2017-11-24,85556
2017-12-01,85565
2017-12-08,85494
2017-12-15,85179
2017-12-22,84888
2017-12-29,
2018-01-05,84226
2018-01-12,84304
2018-01-19,84204
2018-01-26,84157
2018-02-02,84131
2018-02-09,84093
2018-02-16,83870
2018-02-23,83857
2018-03-02,83805
2018-03-09,83523
2018-03-16,83553
2018-03-23,83553
2018-03-30,83553
2018-04-06,83263
2018-04-13,83216
2018-04-20,83285
2018-04-27,83334
2018-05-04,83385
2018-05-11,83210
2018-05-18,83229
2018-05-25,83097
2018-06-01,82930
2018-06-08,82850
2018-06-15,82758
2018-06-22,82694
2018-06-29,82649
2018-07-06,82614
2018-07-13,82557
2018-07-20,82698
2018-07-27,82728
2018-08-03,82785
2018-08-10,82891
2018-08-17,82949
2018-08-24,82846
2018-08-31,82839
2018-09-07,82909
2018-09-14,82914
2018-09-21,82939
2018-09-28,82788
2018-10-05,82936
2018-10-12,82991
2018-10-19,83093
2018-10-26,83042
2018-11-02,82938
2018-11-09,82966
2018-11-16,82902
2018-11-23,82888
2018-11-30,82852
2018-12-07,82786
2018-12-14,82661
2018-12-21,82509
2018-12-28,
2019-01-04,81980
2019-01-11,82107
2019-01-18,82240
2019-01-25,82233
2019-02-01,82254
