date,hdc_pop
2020-01-03,2759
2020-01-10,2726
2020-01-17,2741
2020-01-24,2703
2020-01-31,2698
2020-02-07,2709
2020-02-14,2716
2020-02-21,2684
2020-02-28,2719
2020-03-06,2726
2020-03-13,2718
2020-03-20,2731
2020-03-27,2693
2020-04-03,2681
2020-04-10,
2020-04-17,2668
2020-04-24,2699
2020-05-01,2699
2020-05-08,
2020-05-15,2676
2020-05-22,2656
2020-05-29,2619
2020-06-05,2634
2020-06-12,2647
2020-06-19,2685
2020-06-26,2649
2020-07-03,2650
2020-07-10,2659
2020-07-17,2629
2020-07-24,2607
2020-07-31,2589
2020-08-07,2578
2020-08-14,2546
2020-08-21,2543
2020-08-28,2552
2020-09-04,2524
2020-09-11,2502
2020-09-18,2510
2020-09-25,2500
2020-10-02,2507
2020-10-09,2496
2020-10-16,2456
2020-10-23,2491
2020-10-30,2485
2020-11-06,2478
2020-11-13,2459
2020-11-20,2418
2020-11-27,2425
2020-12-04,2420
2020-12-11,2431
2020-12-18,2412
2021-01-08,2342
2021-01-15,2322
2021-01-22,2285
2021-01-29,2272
2021-02-05,2276
2021-02-12,2260
2021-02-19,2245
2021-02-26,2246
2021-03-05,2274
2021-03-12,2298
2021-03-19,2249
2021-03-26,2239
2021-04-02,
2021-04-09,2267
2021-04-16,2237
2021-04-23,2246
2021-04-30,2274
2021-05-07,2232
2021-05-14,2175
2021-05-21,2197
2021-05-28,2192
2021-06-04,2184
2021-06-11,2168
2021-06-18,2179
2021-06-25,2183
2021-07-02,2201
2021-07-09,2155
2021-07-16,2108
2021-07-23,2151
2021-07-30,2177
2021-08-06,2172
2021-08-13,2198
2021-08-20,2212
2021-08-27,2236
2021-09-03,2210
2021-09-10,2174
2021-09-17,2167
2021-09-24,2167
2021-10-01,2160
2021-10-08,2184
2021-10-15,2175
2021-10-22,2173
2021-10-29,2170
2021-11-05,2216
2021-11-12,2242
2021-11-19,2219
2021-11-26,2187
2021-12-03,2218
2021-12-10,2200
2021-12-17,2215
2021-12-24,2236
2021-12-31,2223
2022-01-07,2191
2022-01-14,2152
2022-01-21,2141
2022-01-28,2144
2022-02-04,2165
2022-02-11,2190
2022-02-18,2167
2022-02-25,2166
2022-03-04,2142
2022-03-11,2135
2022-03-18,2129
2022-03-25,2165
2022-04-01,2177
2022-04-08,2182
2022-04-22,2159
2022-04-29,2149
2022-05-06,2126
2022-05-13,2121
2022-05-20,2104
2022-05-27,2106
2022-06-10,2082
2022-06-17,2058
2022-06-24,2075
2022-07-01,2114
2022-07-08,2125
2022-07-15,2140
2022-07-22,2138
2022-07-29,2140
2022-08-05,2141
2022-08-12,2139
2022-08-19,2121
2022-08-26,2099
2022-09-02,2104
2022-09-09,2098
2022-09-16,2071
2022-09-23,2063
2022-09-30,2055
2022-10-07,2038
2022-10-14,1996
2022-10-21,1998
2022-10-28,1985
2022-11-04,1988
2022-11-11,1993
2022-11-18,1974
2022-11-25,1967
2022-12-02,1965
2022-12-09,1933
2022-12-16,1952
2022-12-23,1983
2022-12-30,1955
2023-01-06,1903
2023-01-13,1900
2023-01-20,1885
2023-01-27,1863
2023-02-03,1833
2023-02-10,1845
2023-02-17,1831
2023-02-24,1821
2023-03-03,1847
2023-03-10,1838
2023-03-17,1859
2023-03-24,1861
2023-03-31,1862
2023-04-14,1813
2023-04-21,1819
2023-04-28,1809
2023-05-05,1828
2023-05-12,1801
2023-05-19,1794
2023-05-26,1802
2023-06-02,1820
2023-06-09,2059
2023-06-16,2109
2023-06-23,2117
2023-06-30,2117
2023-07-07,2124
2023-07-14,2100
2023-07-21,2079
2023-07-28,2072
2023-08-04,2047
2023-08-11,2073
2023-08-18,2058
2023-08-25,2068
2023-09-01,2061
2023-09-08,2027
2023-09-15,2025
2023-09-22,2007
2023-09-29,2012
2023-10-06,2022
2023-10-13,2049
2023-10-20,2078
2023-10-27,2127
2023-11-03,2177
2023-11-10,2188
2023-11-17,2223
2023-11-24,2219
2023-12-01,2239
2023-12-08,2231
2023-12-15,2233
2023-12-22,2237
2023-12-29,2227
2024-01-05,2167
2024-01-12,2191
2024-01-19,2181
2024-01-26,2163
2024-02-02,2193
2024-02-09,2189
2024-02-16,2202
2024-02-23,2195
2024-03-01,2217
2024-03-08,2240
2024-03-15,2249
2024-03-22,2244
2024-04-05,2205
2024-04-12,2222
2024-04-19,2213
2024-04-26,2224
2024-05-03,2239
2024-05-10,2220
2024-05-17,2198
2024-05-24,2169
2024-05-31,2200
2024-06-07,2200
2024-06-14,2176
2024-06-21,2165
2024-06-28,2194
2024-07-05,2247
2024-07-12,2318
2024-07-19,2449
2024-07-26,2520
2024-08-02,2581
2024-08-09,2645
2024-08-16,2709
2024-08-23,2767
2024-08-30,2800
2024-09-06,2852
2024-09-13,3528
2024-09-20,3654
2024-09-27,3784
2024-10-04,3872
2024-10-11,3959
2024-10-18,3971
2024-10-21,3913
2024-10-28,4358
2024-11-04,4376
2024-11-11,4395
2024-11-18,4341
2024-11-25,4293
2024-12-02,4264
2024-12-09,4167
