date,population
2023-08-25,83559
2023-09-01,83609
2023-09-08,83590
2023-09-15,83848
2023-09-22,84091
2023-09-29,84201
2023-10-06,84412
2023-10-13,84604
2023-10-27,84194
2023-11-03,84168
2023-11-10,84101
2023-11-17,84149
2023-11-24,84321
2023-12-01,84279
2023-12-08,84288
2023-12-15,83995
2023-12-22,83644
2023-12-29,83687
2024-01-05,83877
2024-01-12,83960
2024-01-19,83986
2024-01-26,83976
2024-02-02,84118
2024-02-09,87982
2024-02-16,84314
2024-02-23,84344
2024-03-01,84469
2024-03-08,84569
2024-03-15,84192
2024-03-22,84080
2024-04-05,83351
2024-04-12,83500
2024-04-19,83629
2024-04-26,83832
2024-05-03,83859
2024-05-10,84049
2024-05-17,84250
2024-05-24,83438
2024-05-31,83568
2024-06-07,83648
2024-06-14,83699
2024-06-21,83771
2024-06-28,83702
2024-07-05,83796
2024-07-12,83859
2024-07-19,83692
2024-07-26,83816
2024-08-02,83737
2024-08-09,83900
2024-08-16,84283
2024-08-23,84596
2024-08-30,84718
2024-09-06,84865
2024-09-13,82893
2024-09-20,82953
2024-09-27,83034
2024-10-04,83124
2024-10-11,83287
2024-10-18,83491
2024-10-21,83530
2024-10-28,81976
2024-11-04,81894
2024-11-11,81943
2024-11-18,82043
2024-11-25,82132
2024-12-02,82193
2024-12-09,82218
2024-12-16,85599
2024-12-23,82065
2024-12-30,81827
2025-01-06,81897
2025-01-13,82062
2025-01-20,82265
2025-01-27,82634
2024-01-03,82958
